symbol,CVSAId,category,market,currency,settlPeriod,lotSize,minimumSize,block,isin,instrumentStatus,issuer,securityDescription,tickPriceId
GAMI,30011,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,100.00000,0,ARBOLG010010,0,3074-B-GAMING,B. GAMING S.A. ACC. ORD.1 VOTO,Tick_Acciones
GAMI,30011,01-ACCIONES PRIVADAS,CT,ARS,0001,1.0000000,100.00000,0,ARBOLG010010,0,3074-B-GAMING,B. GAMING S.A. ACC. ORD.1 VOTO,Tick_Acciones
COMEC,251,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARP290071462,0,0140-SOCIEDAD COMERCIAL D,COMERCIAL DEL PLATA,Tick_Acciones_Lider_CEDEAR
GGALD,534,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,1.00000,0,ARP495251018,0,1129-GRUPO FINANCIERO GAL,"GRUPO FINANCIERO GALICIA ""B""1V",Tick_Acciones_Lider_CEDEAR
GGALD,534,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARP495251018,0,1129-GRUPO FINANCIERO GAL,"GRUPO FINANCIERO GALICIA ""B""1V",Tick_Acciones_Lider_CEDEAR
PAMPC,457,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARP432631215,0,0103-PAMPA ENERGIA S.A.,PAMPA ENERGIA S.A.,Tick_Acciones_Lider_CEDEAR
PAMPD,457,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,1.00000,0,ARP432631215,0,0103-PAMPA ENERGIA S.A.,PAMPA ENERGIA S.A.,Tick_Acciones_Lider_CEDEAR
PAMPD,457,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARP432631215,0,0103-PAMPA ENERGIA S.A.,PAMPA ENERGIA S.A.,Tick_Acciones_Lider_CEDEAR
TRAND,849,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARTRAN010011,0,0558-TRANSENER S.A. CIA.,CIA.TRANSP.EN.ELEC.EN ALTA T.O,Tick_Acciones_Lider_CEDEAR
TRAND,849,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,1.00000,0,ARTRAN010011,0,0558-TRANSENER S.A. CIA.,CIA.TRANSP.EN.ELEC.EN ALTA T.O,Tick_Acciones_Lider_CEDEAR
BBARD,94,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,1.00000,0,ARP125991090,0,0108-BBVA BANCO FRANCES S,BBVA BCO.FRANCES S.A.,Tick_Acciones_Lider_CEDEAR
CEPUD,322,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARP2354W1188,0,0410-CENTRAL PUERTO S. A.,CENTRAL PUERTO-ORDS. 1 VOTO,Tick_Acciones_Lider_CEDEAR
RICHC,30045,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,10.00000,0,ARLRIC300027,1,4349-LABORATORIOS RICHMON,ACC.ORD.LABOR.RICHMOND C.B 1V.,Tick_Acciones
BMA.D,111,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARBANS010010,0,0409-BANCO MACRO S.A.,"BANCO MACRO S.A. ""B"" 1 V.ESCRI",Tick_Acciones_Lider_CEDEAR
EDNC,508,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARENOR010020,0,0556-EDENOR S.A.,EMP.DIST.Y COM.NORTE (EDENOR)O,Tick_Acciones_Lider_CEDEAR
CEPUC,322,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARP2354W1188,0,0410-CENTRAL PUERTO S. A.,CENTRAL PUERTO-ORDS. 1 VOTO,Tick_Acciones_Lider_CEDEAR
TXARC,839,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARSIDE010029,0,0549-SIDERAR S.A.I.C.,TERNIUM ARGENTINA S.A.,Tick_Acciones_Lider_CEDEAR
TXARC,839,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARSIDE010029,0,0549-SIDERAR S.A.I.C.,TERNIUM ARGENTINA S.A.,Tick_Acciones_Lider_CEDEAR
TGSUD,617,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARP9308R1039,0,0431-TRANSPORTADORA GAS D,TRANSPORTADORA DE GAS DEL SUR,Tick_Acciones_Lider_CEDEAR
BPATD,30015,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,6.00000,0,ARMERI013163,1,0707-BANCO PATAGONIA S.A.,"BANCO PATAGONIA ACCIONES CL.""B",Tick_Acciones
BPATD,30015,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,6.00000,0,ARMERI013163,1,0707-BANCO PATAGONIA S.A.,"BANCO PATAGONIA ACCIONES CL.""B",Tick_Acciones
CTIOC,30019,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,8.00000,0,ARCTIO010019,0,3328-CONSULTATIO S.A.,CONSULTATIO S.A. ORDS. 1 V.,Tick_Acciones
RICHD,30045,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,10.00000,0,ARLRIC300027,0,4349-LABORATORIOS RICHMON,ACC.ORD.LABOR.RICHMOND C.B 1V.,Tick_Acciones
RICHD,30045,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,10.00000,0,ARLRIC300027,0,4349-LABORATORIOS RICHMON,ACC.ORD.LABOR.RICHMOND C.B 1V.,Tick_Acciones
RICHC,30045,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,10.00000,0,ARLRIC300027,1,4349-LABORATORIOS RICHMON,ACC.ORD.LABOR.RICHMOND C.B 1V.,Tick_Acciones
CTICB,30019,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,8.00000,1,ARCTIO010019,0,3328-CONSULTATIO S.A.,CONSULTATIO ORD. 1 VOTO $ ESCR,Tick_Acciones
CTICB,30019,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,8.00000,1,ARCTIO010019,0,3328-CONSULTATIO S.A.,CONSULTATIO ORD. 1 VOTO $ ESCR,Tick_Acciones
BYMAB,30038,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,1.00000,1,ARBYMA300018,0,5047-BOLSAS Y MERCADOS AR,BOLSAS Y MERCADOS ARG. $ ORD.,Tick_Acciones
BYMAB,30038,01-ACCIONES PRIVADAS,CT,ARS,0001,1.0000000,1.00000,1,ARBYMA300018,0,5047-BOLSAS Y MERCADOS AR,BOLSAS Y MERCADOS ARG. $ ORD.,Tick_Acciones
IRSAC,633,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,10.00000,0,ARP588091073,0,0126-IRSA INVERSIONES Y R,IRSA INV.Y REPR. S.A. - ORD.1V,Tick_Acciones
SAMIC,859,01-ACCIONES PRIVADAS,CT,EXT,0002,0.1000000,15.00000,0,ARSMIG010018,1,0599-SAN MIGUEL S.A.,"S.A.SAN MIGUEL ""B"" 1 VOTO",Tick_Acciones
COMED,251,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,1.00000,0,ARP290071462,0,0140-SOCIEDAD COMERCIAL D,COMERCIAL DEL PLATA,Tick_Acciones_Lider_CEDEAR
COMEC,251,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARP290071462,0,0140-SOCIEDAD COMERCIAL D,COMERCIAL DEL PLATA,Tick_Acciones_Lider_CEDEAR
EDNC,508,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARENOR010020,0,0556-EDENOR S.A.,EMP.DIST.Y COM.NORTE (EDENOR)O,Tick_Acciones_Lider_CEDEAR
PAMPB,457,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,1.00000,1,ARP432631215,0,0103-PAMPA ENERGIA S.A.,PAMPA ENERGIA S.A. ESCRIT,Tick_Acciones_Ext
PAMPB,457,01-ACCIONES PRIVADAS,CT,ARS,0001,1.0000000,1.00000,1,ARP432631215,0,0103-PAMPA ENERGIA S.A.,PAMPA ENERGIA S.A. ESCRIT,Tick_Acciones_Ext
TXARB,839,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,1.00000,1,ARSIDE010029,0,0549-SIDERAR S.A.I.C.,"TERNIUM ARG S.A.ORDS.""A""1 VOTO",Tick_Acciones
TXARB,839,01-ACCIONES PRIVADAS,CT,ARS,0001,1.0000000,1.00000,1,ARSIDE010029,0,0549-SIDERAR S.A.I.C.,"TERNIUM ARG S.A.ORDS.""A""1 VOTO",Tick_Acciones
CRE3W,95678,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,1.00000,0,ARCRES100309,0,0077-CRESUD S.A.C.I.F. Y,WARRANTS CRESUD S.A.C.I.F. VTO,Tick_Acciones_Ext
CRE3W,95678,01-ACCIONES PRIVADAS,CT,ARS,0001,1.0000000,1.00000,0,ARCRES100309,0,0077-CRESUD S.A.C.I.F. Y,WARRANTS CRESUD S.A.C.I.F. VTO,Tick_Acciones_Ext
